mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_max_features,param_n_estimators,param_n_jobs,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
2.2064338525136313,0.3938499291737874,0.31630212552559506,0.3773289023001587,8,auto,200,3,"{'n_jobs': 3, 'n_estimators': 200, 'max_features': 'auto', 'max_depth': 8}",2,0.31723260253369584,0.3749240429410573,0.3143154727462099,0.3798460826293253,0.3173583376743648,0.37721658133009345,0.025938631901030015,0.06198938327210749,0.0014057131714181928,0.0020109832874257647
1.3834179242451985,0.35213907559712726,0.31055433398912163,0.3119044070033526,4,sqrt,200,3,"{'n_jobs': 3, 'n_estimators': 200, 'max_features': 'sqrt', 'max_depth': 4}",7,0.31324116388037254,0.310628201047484,0.30667746788566136,0.3128110172433746,0.3117439370261041,0.3122740027191993,0.00027454513338741966,0.0580773136225827,0.0028086758569944048,0.0009286629747975477
4.507486820220947,0.5440666675567627,0.3019905103575975,1.0,40,sqrt,160,3,"{'n_jobs': 3, 'n_estimators': 160, 'max_features': 'sqrt', 'max_depth': 40}",14,0.30467981720367904,1.0,0.2971299618099757,1.0,0.30416160212999943,1.0,0.3182734076981236,0.051916840816904807,0.003443431994185334,0.0
4.95740818977356,0.6470073064168295,0.31271457778806466,0.893617599118287,16,sqrt,250,3,"{'n_jobs': 3, 'n_estimators': 250, 'max_features': 'sqrt', 'max_depth': 16}",5,0.3193150922658645,0.8951647906478776,0.3078926050225668,0.8897407707441268,0.3109336111593448,0.8959472359628569,0.1259122117395145,0.013690682786279634,0.004830519014770145,0.0027598796893770336
4.912646055221558,0.64560866355896,0.3079697565868148,0.9822357641850284,20,sqrt,200,3,"{'n_jobs': 3, 'n_estimators': 200, 'max_features': 'sqrt', 'max_depth': 20}",10,0.3100595823451148,0.9806996730229463,0.3032635111676889,0.9834799213054045,0.3105863286450194,0.9825276982267349,0.14608027165002316,0.004330332276670318,0.0033347588487617416,0.0011536505078975137
1.9455256462097168,0.4515644709269206,0.31013000038575783,0.3118175891722087,4,sqrt,300,3,"{'n_jobs': 3, 'n_estimators': 300, 'max_features': 'sqrt', 'max_depth': 4}",9,0.31248915369931163,0.3103967128678492,0.3073139682907071,0.3125506307140377,0.3105863286450194,0.31250542393473923,0.001893402172932479,0.009714760916083162,0.002137399243833288,0.0010048807615637464
4.217482328414917,0.551480770111084,0.2990780388072368,1.0,30,log2,160,3,"{'n_jobs': 3, 'n_estimators': 160, 'max_features': 'log2', 'max_depth': 30}",20,0.30219239891247757,1.0,0.2958569609998843,1.0,0.2991838860913353,1.0,0.06747924936642256,0.07267706322887216,0.002587700889477207,0.0
4.346617619196574,0.5228368441263834,0.30060178220113415,1.0,30,sqrt,160,3,"{'n_jobs': 3, 'n_estimators': 160, 'max_features': 'sqrt', 'max_depth': 30}",19,0.30386996008561346,1.0,0.29903946302511286,1.0,0.2988944839960641,1.0,0.12814144832207733,0.005983892696053743,0.0023122097608427187,0.0
4.538299481074016,0.5041104157765707,0.30173976777379163,1.0,50,auto,160,3,"{'n_jobs': 3, 'n_estimators': 160, 'max_features': 'auto', 'max_depth': 50}",16,0.3061259906287962,1.0,0.29788218956139334,1.0,0.3012097007582335,1.0,0.2888819848141079,0.0046584637035404315,0.0033865575703202902,0.0
7.390148003896077,0.9308616320292155,0.3131967750646144,0.8937235192895051,16,log2,350,3,"{'n_jobs': 3, 'n_estimators': 350, 'max_features': 'log2', 'max_depth': 16}",4,0.3169433678486724,0.8931392690760728,0.3106700613354936,0.8907244531882884,0.311975458702321,0.897306835604154,0.32701397782970076,0.061318605528154504,0.0027028677988182783,0.0027188172429809727
4.0231138070424395,0.5726253986358643,0.3159549434864792,0.3752748688211173,8,log2,350,3,"{'n_jobs': 3, 'n_estimators': 350, 'max_features': 'log2', 'max_depth': 8}",3,0.31757968415572396,0.3738244740877919,0.31321606295567644,0.37851521814604794,0.3170689355790936,0.37348491422951197,0.12374777175476068,0.00785881476049019,0.0019478733605621217,0.002295462630934159
10.749307950337728,1.1703048547108967,0.3024727076341473,1.0,50,sqrt,400,3,"{'n_jobs': 3, 'n_estimators': 400, 'max_features': 'sqrt', 'max_depth': 50}",13,0.30439058251865564,1.0,0.298750144659183,1.0,0.30427736296810787,1.0,0.18595346175953353,0.05777482270113502,0.0026326553127111805,0.0
12.912385861078898,1.497092644373576,0.3037649963353007,1.0,30,log2,500,3,"{'n_jobs': 3, 'n_estimators': 500, 'max_features': 'log2', 'max_depth': 30}",11,0.30710938855787584,1.0,0.2999652817960884,1.0,0.3042194825490537,1.0,0.07931066636157226,0.06944617723791974,0.0029344235032700613,0.0
6.936213254928589,0.8349104722340902,0.3125409867685067,0.894678454075781,16,sqrt,350,3,"{'n_jobs': 3, 'n_estimators': 350, 'max_features': 'sqrt', 'max_depth': 16}",6,0.3132990108173772,0.8970166960849562,0.31032287929637775,0.8896539752343479,0.3140012733692192,0.8973646909080389,0.09537203656304445,0.061593098771394746,0.001594426486451149,0.0035556823836623334
4.871780633926392,0.7100594838460287,0.3170350653859507,0.3753519450475295,8,sqrt,450,3,"{'n_jobs': 3, 'n_estimators': 450, 'max_features': 'sqrt', 'max_depth': 8}",1,0.31873662289581767,0.3728117133018895,0.31448906376576785,0.3792095822242796,0.3178792614458529,0.37403453961641936,0.04783480391565541,0.0071134390455873135,0.001834004786629425,0.0027730668328837713
2.650096813837687,0.6385104656219482,0.31032287929637775,0.31231909666764346,4,log2,400,3,"{'n_jobs': 3, 'n_estimators': 400, 'max_features': 'log2', 'max_depth': 4}",8,0.31283623532133975,0.3110911774067537,0.30667746788566136,0.3131292674458975,0.3114545349308329,0.31273684515027916,0.051047736133499146,0.04926451674329303,0.0026386918750733656,0.0008829262324689126
4.1494987805684405,0.513446569442749,0.30139258573467576,1.0,60,sqrt,160,3,"{'n_jobs': 3, 'n_estimators': 160, 'max_features': 'sqrt', 'max_depth': 60}",18,0.30514259269971655,1.0,0.29637773405855805,1.0,0.3026567112345893,1.0,0.05570776134847722,0.014413159980020983,0.0036884011473306533,0.0
10.118165095647177,1.0813705921173096,0.3037457084442387,1.0,40,sqrt,400,3,"{'n_jobs': 3, 'n_estimators': 400, 'max_features': 'sqrt', 'max_depth': 40}",12,0.3093075721640539,1.0,0.29961809975697257,1.0,0.30230942872026395,1.0,0.001236799427141062,0.0046164373791746744,0.004084227139987643,0.0
6.330230871836345,0.7564817269643148,0.30166261620954365,1.0,50,auto,250,3,"{'n_jobs': 3, 'n_estimators': 250, 'max_features': 'auto', 'max_depth': 50}",17,0.3049112049516978,1.0,0.2974771438490915,1.0,0.3025988308155351,1.0,0.08108676530833357,0.004021397220611431,0.0031064881119559806,0.0
6.32819660504659,0.73808487256368,0.3019133587933495,1.0,30,sqrt,250,3,"{'n_jobs': 3, 'n_estimators': 250, 'max_features': 'sqrt', 'max_depth': 30}",15,0.30618383756580086,1.0,0.29666705242448793,1.0,0.3028882329108063,1.0,0.080393471430898,0.015988224683668652,0.003946141589805867,0.0
